StochLen1,StochLen2,SmoothingLen1,SmoothingLen2,weight,counts
9,9,18,8,0.8,3
9,46,13,18,0.8,3
9,9,8,18,0.2,3
9,9,8,18,0.4,3
9,9,18,13,0.2,3
9,34,13,13,0.8,3
9,46,8,13,0.4,3
9,46,8,13,0.6,3
9,46,8,18,0.6,3
9,9,13,13,0.2,3
9,72,13,18,0.8,3
9,46,13,13,0.8,3
9,9,13,18,0.2,3
9,46,13,8,0.8,3
5,9,18,18,0.2,3
9,9,18,13,0.8,3
9,72,13,13,0.8,3
9,9,18,8,0.6,3
9,9,18,13,0.4,3
9,72,13,8,0.8,3
9,9,13,18,0.4,3
9,9,18,13,0.6,3
9,18,13,18,0.8,3
9,9,13,18,0.8,3
9,89,13,3,0.8,3
9,89,13,8,0.8,3
9,89,13,13,0.8,3
9,9,13,18,0.6,3
9,89,13,18,0.8,3
